Geography,Metric,Time Period,Statement,Type,Person,Strength,Description
USA,Total Employed,2000,136901,Fact,,,Source: BLS
USA,Total Employed,2001,136939,Fact,,,Source: BLS
USA,Total Employed,2002,136481,Fact,,,Source: BLS
USA,Total Employed,2003,137729,Fact,,,Source: BLS
USA,Total Employed,2004,139240,Fact,,,Source: BLS
USA,Total Employed,2005,141710,Fact,,,Source: BLS
USA,Total Employed,2006,144418,Fact,,,Source: BLS
USA,Total Employed,2007,146050,Fact,,,Source: BLS
USA,Total Employed,2008,145373,Fact,,,Source: BLS
USA,Total Employed,2009,139894,Fact,,,Source: BLS
USA,Total Employed,2010,139077,Fact,,,Source: BLS
USA,Total Employed,2011,139885,Fact,,,Source: BLS
USA,Total Employed,2012,142472,Fact,,,Source: BLS
USA,Total Employed,2013,143936,Fact,,,Source: BLS
USA,Total Employed,2014,146306,Fact,,,Source: BLS
USA,Total Employed,2015,148839,Fact,,,Source: BLS
USA,Total Employed 5-Yr CAGR,2015,1.37%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2000,,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2001,0.03%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2002,-0.33%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2003,0.91%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2004,1.10%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2005,1.77%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2006,1.91%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2007,1.13%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2008,-0.46%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2009,-3.77%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2010,-0.58%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2011,0.58%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2012,1.85%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2013,1.03%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2014,1.65%,Fact,,,Source: Derived from BLS
USA,Total Employed Y/Y % Chg,2015,1.73%,Fact,,,Source: Derived from BLS
USA,Labor Force,2000,212577,Fact,,,Source: BLS
USA,Labor Force,2001,215093,Fact,,,Source: BLS
USA,Labor Force,2002,217570,Fact,,,Source: BLS
USA,Labor Force,2003,221168,Fact,,,Source: BLS
USA,Labor Force,2004,223357,Fact,,,Source: BLS
USA,Labor Force,2005,226083,Fact,,,Source: BLS
USA,Labor Force,2006,228815,Fact,,,Source: BLS
USA,Labor Force,2007,231867,Fact,,,Source: BLS
USA,Labor Force,2008,233788,Fact,,,Source: BLS
USA,Labor Force,2009,235801,Fact,,,Source: BLS
USA,Labor Force,2010,237829,Fact,,,Source: BLS
USA,Labor Force,2011,239618,Fact,,,Source: BLS
USA,Labor Force,2012,243284,Fact,,,Source: BLS
USA,Labor Force,2013,245679,Fact,,,Source: BLS
USA,Labor Force,2014,247947,Fact,,,Source: BLS
USA,Labor Force,2015,250801,Fact,,,Source: BLS
USA,Labor Force 5-Yr CAGR,2015,1.07%,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2000,,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2001,1.18%,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2002,1.15%,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2003,1.65%,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2004,0.99%,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2005,1.22%,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2006,1.21%,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2007,1.33%,Fact,,,Source: Derived from BLS
USA,Labor Force Y/Y % Chg,2008,0.83%,Fact,,,Source: Derived from BLS
